[00:00:00 - 00:00:02] 那也真的非常的糟糕 真的是非常的糟糕
[00:00:02 - 00:00:05] 然后另外还做了类似于这样的产品
[00:00:05 - 00:00:10] 个性化游戏闯关 做不同的任务 做游戏化设计
[00:00:10 - 00:00:12] 同时也有豆腥老师的数字人
[00:00:12 - 00:00:15] 但是豆腥老师这本数字人不会根据你的实际内容
[00:00:15 - 00:00:17] 去做相应的变化
[00:00:17 - 00:00:22] 而只是他通过数字人基于你的不同的选择
[00:00:22 - 00:00:24] 数字人去拿TDS技术
[00:00:24 - 00:00:27] 自动的帮你读一段东西出来
[00:00:27 - 00:00:28] 读一段东西出来
[00:00:29 - 00:00:33] 效果挺不好的
[00:00:33 - 00:00:35] 这个做的并不好
[00:00:35 - 00:00:41] 但是我只是想告诉你们有这样的产品
[00:00:41 - 00:00:45] 就是是这样子用户知道是数字人
[00:00:50 - 00:00:51] 你别说贵司啊
[00:00:51 - 00:00:52] 这不是我们家的
[00:00:52 - 00:00:53] 这不是我们家的
[00:00:53 - 00:00:55] 我们家不会做这种东西
[00:00:55 - 00:00:59] 首先豆神是非常擅长营销的
