[00:13:00 - 00:13:02] 就是这是标签更新
[00:13:02 - 00:13:03] 原本你们俩的关系是仇敌
[00:13:03 - 00:13:06] 然后经过了一段的这个聊天之后的话
[00:13:06 - 00:13:07] 你发现关系状态变了
[00:13:07 - 00:13:08] 变成了平和
[00:13:08 - 00:13:10] 那这个时候是把他的这个
[00:13:10 - 00:13:13] 把原有的记忆做出来
[00:13:13 - 00:13:14] 有一个就是送后
[00:13:14 - 00:13:16] 送后充钱那一个
[00:13:16 - 00:13:18] 这个新负质关系
[00:13:18 - 00:13:21] 第二个的话就是如果是碎片化的
[00:13:21 - 00:13:22] 记忆
[00:13:22 - 00:13:25] 我的个人的建议是不实效
[00:13:25 - 00:13:27] 我的个人建议是不实效
[00:13:27 - 00:13:28] 因为碎片记忆的话
[00:13:28 - 00:13:31] 他的每一条其实就是占一行的这个
[00:13:31 - 00:13:32] reg的存储
[00:13:32 - 00:13:34] 而reg存储的话
[00:13:34 - 00:13:35] 其实是非常廉价的
[00:13:35 - 00:13:37] 所以我的建议是
[00:13:37 - 00:13:39] 盖药是用更新制
[00:13:39 - 00:13:41] 然后的话在碎片是不要删除的
[00:13:41 - 00:13:44] 这个是我个人的建议
[00:13:44 - 00:13:45] AI保险的话
[00:13:45 - 00:13:46] 我待会讲
[00:13:46 - 00:13:47] 不是待会讲
[00:13:47 - 00:13:50] 我是有一节课讲AI的金融的
[00:13:50 - 00:13:50] 好不好
[00:13:50 - 00:13:52] 好
[00:13:52 - 00:13:54] 然后这是我们今天给大家讲的
[00:13:54 - 00:13:56] 以错题本的设计
[00:13:56 - 00:13:58] 然后看图片解析的一种场景
[00:13:58 - 00:13:59] 然后就有的不可能三点
