[02:00:00 - 02:00:01] 多灵光吗
[02:00:02 - 02:00:05] 我给你们看看多灵光对我正在做什么
[02:00:06 - 02:00:09] 多灵光的臭绿鸟正在催我说今天
[02:00:10 - 02:00:10] 今天
[02:00:12 - 02:00:15] 今天是你的第250天
[02:00:16 - 02:00:18] 是你的第250天
[02:00:18 - 02:00:19] 再不弄的话
[02:00:19 - 02:00:20] 那就要搞你了
[02:00:20 - 02:00:21] 对吧
[02:00:21 - 02:00:23] 付费用户超过了1000万
[02:00:23 - 02:00:24] 这是他最厉害的一点
[02:00:24 - 02:00:26] 他付费用户1000万
[02:00:26 - 02:00:27] 然后游戏化教学
[02:00:27 - 02:00:28] 碎片时间
[02:00:28 - 02:00:28] AI化
[02:00:28 - 02:00:31] 我觉得真的做的是非常非常的优质
[02:00:31 - 02:00:32] 非常的优质
[02:00:32 - 02:00:33] 然后多灵光的财报
[02:00:33 - 02:00:35] 大家可以看看他有多么的优质
[02:00:35 - 02:00:36] 对吧
[02:00:36 - 02:00:42] 定月同比增速每年要按照50%增长
[02:00:42 - 02:00:44] 这个就是他最优秀的一点
[02:00:45 - 02:00:47] 这个是他最优秀的一点
[02:00:47 - 02:00:51] 每年50%的定月收入的环比增速
[02:00:51 - 02:00:53] 而且他现在对于这个广告已经基本不care了
[02:00:53 - 02:00:54] 广告的增速
[02:00:54 - 02:00:57] 现在是非常放缓的一个状态
[02:00:57 - 02:01:00] 然后用内购买每年弄得疯狂的曲子
