[01:47:00 - 01:47:04] 因为各种话我们不得不说它是AI的一大能力
[01:47:04 - 01:47:06] 营销加AI可以精准投放
[01:47:07 - 01:47:09] 电商加AI下届和讲的
[01:47:09 - 01:47:11] 决策AI去做精准推荐
[01:47:11 - 01:47:16] 生成是AI可以做商品的设计
[01:47:16 - 01:47:19] 教育加AI通过决策AI做到英才师教
[01:47:19 - 01:47:23] 通过生成是AI做题目和内容的一些生成
[01:47:23 - 01:47:26] 所以大家可以思考一下自己的行业和AI
[01:47:26 - 01:47:28] 在决策的时候生成是两个环节
[01:47:28 - 01:47:31] 都能做出来什么样的新的一些东西
[01:47:31 - 01:47:33] 然后给大家再多看一点
[01:47:34 - 01:47:38] 这种一些产品AI化的一些案例
[01:47:38 - 01:47:41] 给大家一些更加直观的状态
[01:47:41 - 01:47:42] 更加直观的状态
[01:47:42 - 01:47:46] 比如说AI市场整体的市场的规模
[01:47:46 - 01:47:47] 因为已经非常大了
[01:47:47 - 01:47:48] 大家可以看到
[01:47:48 - 01:47:51] 如果是到这个2025年今年的预测值的话
[01:47:51 - 01:47:52] 是多少呢
[01:47:52 - 01:47:54] 是7个billion
[01:47:54 - 01:47:55] 是7个billion
[01:47:55 - 01:47:56] 70亿dollar
[01:47:56 - 01:47:58] 然后如果是能到2034年
[01:47:58 - 01:47:59] 就是10年之后的话
[01:47:59 - 01:48:00] 差不多
