[00:00:00 - 00:00:05] 昨天晚上刚刚在我自己的产品管理中遇到的一个实力
[00:00:05 - 00:00:07] 大家想想这种问题是什么
[00:00:07 - 00:00:08] 问题是什么
[00:00:08 - 00:00:10] 我就跟大家去讲
[00:00:10 - 00:00:14] 我给大家不是做了一个小的产品的demo
[00:00:14 - 00:00:15] 现在正在开发
[00:00:15 - 00:00:17] 然后我的产品经理昨天在跟我说
[00:00:17 - 00:00:19] 就是那款在我这儿讲
[00:00:19 - 00:00:22] 边上有一个人去就是能够有一个网页
[00:00:22 - 00:00:23] 把我说的话
[00:00:23 - 00:00:24] 他都能够拿ASR去转路
[00:00:24 - 00:00:25] 转完路之后的话
[00:00:25 - 00:00:27] 能够去出他的相应的知识点
[00:00:27 - 00:00:29] 相应的知识点
[00:00:29 - 00:00:30] 关键词的这款产品
[00:00:30 - 00:00:31] 对吧
[00:00:31 - 00:00:33] 大家记住这个品吧
[00:00:33 - 00:00:35] 这个品我昨天
[00:00:35 - 00:00:37] 我昨天设训多钟开会
[00:00:37 - 00:00:38] 跟我的pm
[00:00:38 - 00:00:40] 然后聊说你的定价机制
[00:00:40 - 00:00:41] 我们过一下定
[00:00:41 - 00:00:43] 我们过一下定价机制的设计
[00:00:43 - 00:00:46] 他给我的定价机制的设计是这样子
[00:00:46 - 00:00:48] 他给我去演算了一下
[00:00:48 - 00:00:52] 叫做这个这个每个人每个月
[00:00:52 - 00:00:55] 那最多应该能轻多少课
[00:00:55 - 00:00:58] 然后峰值 骨质 均值都给我算完了
[00:00:58 - 00:01:00] 然后他觉得这款产品是可以做上全包的
