[02:36:00 - 02:36:02] 會是一個特別有意思的產品
[02:36:04 - 02:36:05] 是這樣子的
[02:36:05 - 02:36:08] 這個達到上限標準需要專門確定史料來源嗎
[02:36:09 - 02:36:13] 看你是做成帶有娛樂性質的還是去做成基本性質的
[02:36:13 - 02:36:15] 這個產品看你的定位是什麼
[02:36:15 - 02:36:18] 如果是歷史娛樂類產品的話我認為是不太需要的
[02:36:19 - 02:36:24] 但是如果是這樣的話你就對於一些這種高度歷史敏感性人物的話你不能做
[02:36:24 - 02:36:28] 但是你如果做成這種歷史教學級別的產品的話就必須得有處處
[02:36:29 - 02:36:30] 就必須得有處處
[02:36:32 - 02:36:33] 明白了吧
[02:36:34 - 02:36:35] 對吧
[02:36:40 - 02:36:44] 甚至通過這種方法你成為了孔子門生
[02:36:45 - 02:36:46] 孔子門生
[02:36:46 - 02:36:48] 娛樂性質就看用後
[02:36:48 - 02:36:49] 首先第一個事兒啊
[02:36:49 - 02:36:51] 首先第一個事兒我想跟你去說一個點
[02:36:52 - 02:36:57] 這個產品本身就不能做成特別重的教學性質
[02:36:57 - 02:36:58] 為什麼
