[00:00:00 - 00:00:04] 这个搜题和错题本为什么自己会在海外做这么一个高丝
[00:00:04 - 00:00:06] 这个里面有一点就是搜题和错译本
[00:00:06 - 00:00:09] 这个既是学生的普遍需求
[00:00:09 - 00:00:14] 又可以借助这两个场景进行很好的用户信息的收集
[00:00:14 - 00:00:20] 大家理解吧搜题和错译本对于用户信息的收集能力是非常好的
[00:00:20 - 00:00:25] 然后它是基于错题了解用户对于哪些知识点的掌握是有问题的
[00:00:25 - 00:00:28] 因为如果只是单纯的单向教学
[00:00:28 - 00:00:30] 就是我去讲你去听尤其是路过
[00:00:30 - 00:00:32] 其实我不是拿不到任何的用户数据的
[00:00:32 - 00:00:38] 但是通过错译本是非常明确的这个学生在这个问题上
[00:00:38 - 00:00:39] 它存在问题
[00:00:39 - 00:00:41] 而且通过一个搜题就立刻能知道什么
[00:00:41 - 00:00:47] 不需要登记它的年纪就直接能够知道它是哪个年纪
[00:00:47 - 00:00:49] 甚至要是在国内的话
[00:00:49 - 00:00:52] 它是在哪个省的考区的
[00:00:52 - 00:00:54] 因为题目是有不同的对吧
[00:00:54 - 00:00:56] 它可以演成出来很多新的场景
[00:00:56 - 00:00:59] 比如说大家提一晚就是搜题之后去做解题
