[02:20:00 - 02:20:01] 给孩子做使用性答疑
[02:20:01 - 02:20:03] 然后你只要是加盟这个
[02:20:03 - 02:20:07] 你加盟这个又不会受到K12的监管
[02:20:07 - 02:20:10] 又不当心老师会跑路
[02:20:10 - 02:20:12] 拿着学生去跑路
[02:20:12 - 02:20:13] 成本低利润高
[02:20:13 - 02:20:15] 最小加盟额只要一万块钱
[02:20:15 - 02:20:17] 最高加盟额要成为地方总代
[02:20:17 - 02:20:20] 三百万到五百万的这么一个范畴
[02:20:20 - 02:20:22] 然后里面所用的AI
[02:20:22 - 02:20:23] 我们看了一下
[02:20:23 - 02:20:26] 说实话非常非常的
[02:20:27 - 02:20:28] 逆斑
[02:20:28 - 02:20:29] 然后这件事
[02:20:31 - 02:20:32] 对呀
[02:20:32 - 02:20:34] 最小一万就可以加盟
[02:20:34 - 02:20:36] 最小一万就可以加盟
[02:20:36 - 02:20:38] 你让谁来去代言了这个产品吗
[02:20:38 - 02:20:39] 在现下的加盟会上
[02:20:39 - 02:20:42] 把疯狂婴女的李洋都叫过来了
[02:20:42 - 02:20:47] 然后李洋带着下面全体的加上
[02:20:47 - 02:20:48] 在那高喊着号子
[02:20:50 - 02:20:53] 然后我为了释放这件事的话
[02:20:53 - 02:20:56] 我我这个以身入局
[02:20:56 - 02:20:59] 进到他们的招商大会上去去看了
[02:20:59 - 02:21:00] 差
