[00:18:00 - 00:18:05] 昨天晚上刚刚在我自己的产品管理中遇到的一个实力
[00:18:05 - 00:18:07] 大家想想这种问题是什么
[00:18:07 - 00:18:08] 问题是什么
[00:18:08 - 00:18:10] 我就跟大家去讲
[00:18:10 - 00:18:14] 我给大家不是做了一个小的产品的demo
[00:18:14 - 00:18:15] 现在正在开发
[00:18:15 - 00:18:17] 然后我的产品经理昨天在跟我说
[00:18:17 - 00:18:19] 就是那款在我这儿讲
[00:18:19 - 00:18:22] 边上有一个人去就是能够有一个网页
[00:18:22 - 00:18:23] 把我说的话
[00:18:23 - 00:18:24] 他都能够拿ASR去转路
[00:18:24 - 00:18:25] 转完路之后的话
[00:18:25 - 00:18:27] 能够去出他的相应的知识点
[00:18:27 - 00:18:29] 相应的知识点
[00:18:29 - 00:18:30] 关键词的这款产品
[00:18:30 - 00:18:31] 对吧
[00:18:31 - 00:18:33] 大家记住这个品吧
[00:18:33 - 00:18:35] 这个品我昨天
[00:18:35 - 00:18:37] 我昨天设训多钟开会
[00:18:37 - 00:18:38] 跟我的pm
[00:18:38 - 00:18:40] 然后聊说你的定价机制
[00:18:40 - 00:18:41] 我们过一下定
[00:18:41 - 00:18:43] 我们过一下定价机制的设计
[00:18:43 - 00:18:46] 他给我的定价机制的设计是这样子
[00:18:46 - 00:18:48] 他给我去演算了一下
[00:18:48 - 00:18:52] 叫做这个这个每个人每个月
[00:18:52 - 00:18:55] 那最多应该能轻多少课
[00:18:55 - 00:18:58] 然后峰值 骨质 均值都给我算完了
[00:18:58 - 00:19:00] 然后他觉得这款产品是可以做上全包的
