[02:42:00 - 02:42:03] 今天講的特別多的關於這種情懷
[02:42:03 - 02:42:06] 關於這種理念上的事
[02:42:06 - 02:42:08] 我也特別希望一件事情是什麼
[02:42:08 - 02:42:10] 我特別希望同學們
[02:42:10 - 02:42:12] 在你們力所能及的情況下
[02:42:12 - 02:42:13] 力所不能及
[02:42:13 - 02:42:16] AI電商和AI教育我覺得都挺好
[02:42:16 - 02:42:17] 我實話實說講我覺得這都挺好
[02:42:17 - 02:42:20] 我能跟你講的行業我認為都不錯
[02:42:20 - 02:42:21] 說實話
[02:42:21 - 02:42:22] 我認真的給你們去講一個話
[02:42:22 - 02:42:23] 叫做什麼
[02:42:23 - 02:42:25] 就是我特別希望大家叫做
[02:42:25 - 02:42:31] 如果說你要去為了一口溫飽來去
[02:42:31 - 02:42:32] 來去工作的時候
[02:42:32 - 02:42:35] 那就不要去考慮這個工作的偉大意義
[02:42:35 - 02:42:36] 牽去掙錢
[02:42:36 - 02:42:38] 沒有問題
[02:42:38 - 02:42:42] 但是如果有一天你已經比較穩妥了
[02:42:42 - 02:42:44] 你已經能夠吃飽了
[02:42:44 - 02:42:45] 我會講營銷的部分
[02:42:45 - 02:42:48] 我會拆解筷子科技
[02:42:48 - 02:42:52] 到有一天你已經能夠有一些力所能及的情況下了
[02:42:53 - 02:42:54] 我認真的講
[02:42:54 - 02:42:57] 我希望在同樣的事情上
[02:42:57 - 02:42:59] 能夠選擇去做好事
