[00:00:00 - 00:00:02] 就是这是标签更新
[00:00:02 - 00:00:03] 原本你们俩的关系是仇敌
[00:00:03 - 00:00:06] 然后经过了一段的这个聊天之后的话
[00:00:06 - 00:00:07] 你发现关系状态变了
[00:00:07 - 00:00:08] 变成了平和
[00:00:08 - 00:00:10] 那这个时候是把他的这个
[00:00:10 - 00:00:13] 把原有的记忆做出来
[00:00:13 - 00:00:14] 有一个就是送后
[00:00:14 - 00:00:16] 送后充钱那一个
[00:00:16 - 00:00:18] 这个新负质关系
[00:00:18 - 00:00:21] 第二个的话就是如果是碎片化的
[00:00:21 - 00:00:22] 记忆
[00:00:22 - 00:00:25] 我的个人的建议是不实效
[00:00:25 - 00:00:27] 我的个人建议是不实效
[00:00:27 - 00:00:28] 因为碎片记忆的话
[00:00:28 - 00:00:31] 他的每一条其实就是占一行的这个
[00:00:31 - 00:00:32] reg的存储
[00:00:32 - 00:00:34] 而reg存储的话
[00:00:34 - 00:00:35] 其实是非常廉价的
[00:00:35 - 00:00:37] 所以我的建议是
[00:00:37 - 00:00:39] 盖药是用更新制
[00:00:39 - 00:00:41] 然后的话在碎片是不要删除的
[00:00:41 - 00:00:44] 这个是我个人的建议
[00:00:44 - 00:00:45] AI保险的话
[00:00:45 - 00:00:46] 我待会讲
[00:00:46 - 00:00:47] 不是待会讲
[00:00:47 - 00:00:50] 我是有一节课讲AI的金融的
[00:00:50 - 00:00:50] 好不好
[00:00:50 - 00:00:52] 好
[00:00:52 - 00:00:54] 然后这是我们今天给大家讲的
[00:00:54 - 00:00:56] 以错题本的设计
[00:00:56 - 00:00:58] 然后看图片解析的一种场景
[00:00:58 - 00:00:59] 然后就有的不可能三点
