[00:00:00 - 00:00:01] 多灵光吗
[00:00:02 - 00:00:05] 我给你们看看多灵光对我正在做什么
[00:00:06 - 00:00:09] 多灵光的臭绿鸟正在催我说今天
[00:00:10 - 00:00:10] 今天
[00:00:12 - 00:00:15] 今天是你的第250天
[00:00:16 - 00:00:18] 是你的第250天
[00:00:18 - 00:00:19] 再不弄的话
[00:00:19 - 00:00:20] 那就要搞你了
[00:00:20 - 00:00:21] 对吧
[00:00:21 - 00:00:23] 付费用户超过了1000万
[00:00:23 - 00:00:24] 这是他最厉害的一点
[00:00:24 - 00:00:26] 他付费用户1000万
[00:00:26 - 00:00:27] 然后游戏化教学
[00:00:27 - 00:00:28] 碎片时间
[00:00:28 - 00:00:28] AI化
[00:00:28 - 00:00:31] 我觉得真的做的是非常非常的优质
[00:00:31 - 00:00:32] 非常的优质
[00:00:32 - 00:00:33] 然后多灵光的财报
[00:00:33 - 00:00:35] 大家可以看看他有多么的优质
[00:00:35 - 00:00:36] 对吧
[00:00:36 - 00:00:42] 定月同比增速每年要按照50%增长
[00:00:42 - 00:00:44] 这个就是他最优秀的一点
[00:00:45 - 00:00:47] 这个是他最优秀的一点
[00:00:47 - 00:00:51] 每年50%的定月收入的环比增速
[00:00:51 - 00:00:53] 而且他现在对于这个广告已经基本不care了
[00:00:53 - 00:00:54] 广告的增速
[00:00:54 - 00:00:57] 现在是非常放缓的一个状态
[00:00:57 - 00:01:00] 然后用内购买每年弄得疯狂的曲子
