[00:27:00 - 00:27:04] AviTance就是它比如说给有的人11次免费
[00:27:04 - 00:27:05] 看流存看后续转化
[00:27:05 - 00:27:09] 给有的人做8次免费
[00:27:09 - 00:27:11] 看流存看转化来看一下谁更好
[00:27:11 - 00:27:13] 然后发现11次都会更好
[00:27:13 - 00:27:15] 那我会不会再多给点更好呢
[00:27:15 - 00:27:16] 给12次怎么样
[00:27:16 - 00:27:19] 给13次又怎样
[00:27:19 - 00:27:21] 有的给10次又怎样
[00:27:21 - 00:27:24] 然后最后在无数次的实验和地规中
[00:27:24 - 00:27:29] 发现11次的这个数据是综合投产比最好的
[00:27:29 - 00:27:30] 不一定是流存最好的
[00:27:30 - 00:27:31] 不一定是流存最好的
[00:27:31 - 00:27:33] 是综合投产比最好
[00:27:33 - 00:27:36] 因为你要看你的北极星是什么
[00:27:36 - 00:27:37] 你的北极星如果是RI的话
[00:27:37 - 00:27:39] 那就一定是看你的RI的纸
[00:27:39 - 00:27:41] 如果你要北极星是流存的话
[00:27:41 - 00:27:43] 那就要选择看综合流存的纸
[00:27:43 - 00:27:46] 如果是有一个前提的北极星的话
[00:27:46 - 00:27:47] 那就再看在前提之下
[00:27:47 - 00:27:53] 你的北你和北和北极星达成率哪会更高
[00:27:53 - 00:27:58] 这个就是在现有产品中要去做的一件事情
[00:27:58 - 00:28:00] 好 那我们再给大家看
