[00:25:00 - 00:25:03] 利润然后当做给你们的价格
[00:25:03 - 00:25:04] 然后的话
[00:25:04 - 00:25:05] 我在定一个更高的价格
[00:25:05 - 00:25:07] 变成市场价格
[00:25:07 - 00:25:08] 我估计得下个月
[00:25:08 - 00:25:10] 我估计得下个月
[00:25:11 - 00:25:12] 我估计得下个月
[00:25:15 - 00:25:22] 我认为pm我认为pm学定价机制是应该的
[00:25:22 - 00:25:23] 我认为应该是
[00:25:24 - 00:25:27] 我认为pm学定价是应该的
[00:25:28 - 00:25:29] 对吧
[00:25:29 - 00:25:32] 然后如果你想无限次ai解体
[00:25:32 - 00:25:34] 真人老师优先帮助
[00:25:34 - 00:25:36] 那付费的价格如何上呢
[00:25:36 - 00:25:38] 月度是十一月
[00:25:38 - 00:25:40] 月度是十二美元
[00:25:40 - 00:25:42] 年度是一百美元
[00:25:42 - 00:25:43] 这是他的定价机制
[00:25:43 - 00:25:47] 然后他的这个免费多少次怎么来去算账
[00:25:47 - 00:25:48] 其实他要去算
[00:25:48 - 00:25:50] 每天我要去做这些免费
[00:25:50 - 00:25:53] 他所耗的这个token量对于用户增长
[00:25:53 - 00:25:56] 一个用户他的价值
[00:25:56 - 00:25:57] 他的扩展价值是多少
[00:25:57 - 00:26:00] 再算RF和RTB出生
