[01:36:00 - 01:36:03] 最後中國的教育公平化就不存在了
[01:36:03 - 01:36:05] 就這麼簡單的道理
[01:36:07 - 01:36:10] 而如果變成AI來去學習的話
[01:36:10 - 01:36:14] 那其實我們是可以交出來完全不同的孩子
[01:36:14 - 01:36:16] 我們可以去做跨學科的學習
[01:36:16 - 01:36:19] 真正意義上把一個孩子去做全人教育
[01:36:19 - 01:36:21] 而不是做學科教育
[01:36:21 - 01:36:26] 我個人認為做出來真正優質的全人教育的孩子出來
[01:36:26 - 01:36:30] 一定是比學科教育孩子在學科成立上都會更好的
[01:36:33 - 01:36:38] 這個是我對於教育的一點點情懷和邏輯
[01:36:38 - 01:36:42] 所以我女兒以後在家庭的時候
[01:36:42 - 01:36:47] 我會對她進行一定異常的全人教育
[01:36:47 - 01:36:49] 包括文史哲這些東西的話
[01:36:49 - 01:36:53] 我會讓她比較早的去做接觸
[01:36:53 - 01:36:55] 是這樣的
[01:36:55 - 01:36:57] 家長是只需要成績
[01:36:57 - 01:37:00] 但是如果他做完全人教育
