[00:37:00 - 00:37:04] 可能也没有太好的资源去找到对应的这个岗位上的人
[00:37:04 - 00:37:06] 只能是说我在这上面去用
[00:37:06 - 00:37:09] 那这个情况的话
[00:37:09 - 00:37:12] 那我只能说有一个点说一个点是什么的
[00:37:12 - 00:37:13] 就是这个情况的话
[00:37:13 - 00:37:14] 如果你遇到
[00:37:14 - 00:37:16] 那在这个状况下
[00:37:16 - 00:37:20] 你拿AI去写这个相应的prompt
[00:37:20 - 00:37:22] 我觉得也不是不可以
[00:37:22 - 00:37:26] 但是我的建议是你最好千别直接拿AI直出prompt
[00:37:26 - 00:37:30] 而是你拿AI先搓几个这个目标的人
[00:37:30 - 00:37:31] 然后你和他进行沟通
[00:37:31 - 00:37:35] 你对他还是要有一个需求访谈和了解过程的
[00:37:35 - 00:37:37] 因为我确实没有想到有
[00:37:37 - 00:37:39] 就是有一些公司做产品的时候
[00:37:39 - 00:37:44] 其实是不去找目标专家去做访谈的
[00:37:44 - 00:37:45] 但是既然是这样的话
[00:37:45 - 00:37:49] 那可能就得用这种你AI做AI的方法去做
[00:37:50 - 00:37:52] 外部活动和工作流的继合方式
[00:37:52 - 00:37:54] 我在下节课上我会讲
[00:37:54 - 00:37:56] 然后那技能二
