[01:22:00 - 01:22:02] 还是我非常值得去看的
[01:22:02 - 01:22:04] 非常值得去看的
[01:22:04 - 01:22:04] 对吧
[01:22:04 - 01:22:07] 他是在双点前就死掉了的
[01:22:07 - 01:22:08] 所以这就非常有意思
[01:22:08 - 01:22:10] 所以为什么学霸军会倒在黑暗前
[01:22:11 - 01:22:14] K12就是从幼儿园到高中
[01:22:15 - 01:22:17] 从幼儿园到高中
[01:22:18 - 01:22:19] 对吧
[01:22:19 - 01:22:20] 这个就非常有趣了
[01:22:20 - 01:22:22] 他就在那个时候就已经死掉了
[01:22:22 - 01:22:24] 与之对比
[01:22:24 - 01:22:25] 学霸1对1
[01:22:26 - 01:22:28] 2018年就停止运营了
[01:22:28 - 01:22:31] 1对1的头部公司掌门1对1
[01:22:31 - 01:22:34] 推出了大半客小半客起王教育客
[01:22:34 - 01:22:38] 原福岛2019年关庭1对1压住大半客
[01:22:38 - 01:22:41] VIPK的想去做大迷网销做大客品牌
[01:22:41 - 01:22:43] VIPK现在还活着
[01:22:43 - 01:22:45] 我跟森丽还挺熟
[01:22:45 - 01:22:46] 他现在1对1还在坚持
[01:22:46 - 01:22:49] 但是跟我说做的很难
[01:22:49 - 01:22:52] 为什么RIT道股才有可能挣钱
[01:22:52 - 01:22:54] 50底线
[01:22:54 - 01:22:56] 然后原福岛作业帮学而思
[01:22:56 - 01:22:58] 跟神学这几个头部公司
[01:22:58 - 01:22:59] 全都是在做大玩特
