[02:51:00 - 02:51:02] 你们老板想要一个扣子加OA的平台
[02:51:07 - 02:51:09] 这太抽象了
[02:51:11 - 02:51:13] 你们老板要这东西真的太抽象了
[02:51:14 - 02:51:17] 你老板要一个要一个基于非输的平台
[02:51:17 - 02:51:20] 我能理解基于扣子加OA的平台
[02:51:20 - 02:51:21] 我觉得有点抽象
[02:51:22 - 02:51:26] 真的一定要必趁什么叫做必趁
[02:51:26 - 02:51:29] 就是我同学都能行了
[02:51:29 - 02:51:31] 我肯定比他棒
[02:51:31 - 02:51:33] 为什么你比他棒
[02:51:34 - 02:51:37] 你听的这期课比上一期update了
[02:51:37 - 02:51:38] 同学
[02:51:39 - 02:51:40] 你这期课又更新了
[02:51:40 - 02:51:42] 你肯定要比他强
[02:51:47 - 02:51:49] 你把OA流成千里一里
[02:51:49 - 02:51:51] 然后拿扣子先把工作流大一点
[02:51:51 - 02:51:53] 然后和你的非输去做结合吧
[02:51:54 - 02:51:55] 说实验管理
[02:51:55 - 02:51:56] 我说实验管理咱们说
[02:51:56 - 02:51:57] 这都快11点了
[02:51:57 - 02:51:58] 累死了
[02:51:58 - 02:51:59] 实验管理是这样子
[02:51:59 - 02:52:00] 你的
