[01:43:00 - 01:43:02] 無產 然後甚至神棍
[01:43:02 - 01:43:03] 我覺得其實都有可教的一文
[01:43:03 - 01:43:05] 唯有社來無無
[01:43:05 - 01:43:07] 我覺得要繞牌走
[01:43:07 - 01:43:08] 真的
[01:43:09 - 01:43:11] 而傳統教育特別培養社
[01:43:11 - 01:43:14] 而傳統教育客觀講培養社來
[01:43:14 - 01:43:15] 為什麼
[01:43:15 - 01:43:17] 它會告訴你
[01:43:17 - 01:43:18] 你分高你是好孩子
[01:43:18 - 01:43:20] 它分低它是壞孩子
[01:43:20 - 01:43:22] 你分高你什麼都對
[01:43:22 - 01:43:23] 老師會寵著你
[01:43:23 - 01:43:25] 家長會寵著你
[01:43:25 - 01:43:27] 所有東西都會圍繞著你來
[01:43:27 - 01:43:29] 你不行 那就什麼都
[01:43:29 - 01:43:30] 並不行
[01:43:30 - 01:43:32] 這就是典型的叢林法則
[01:43:32 - 01:43:34] 這個事兒是
[01:43:34 - 01:43:38] 對於人文是非常糟糕的一件事
[01:43:38 - 01:43:39] 所以
[01:43:39 - 01:43:42] 這就是為什麼我個人對字節不喜歡的一個點
[01:43:42 - 01:43:48] 我對字節打心眼裡是很不喜歡的一個點
[01:43:48 - 01:43:49] 其實就是在這個點
[01:43:49 - 01:43:50] 而F能教育時代
[01:43:50 - 01:43:53] 它是以學習者為榮幸
[01:43:53 - 01:43:55] 每個人都有每個人的精彩
[01:43:55 - 01:43:57] 每個人都有每個人的精彩
[01:43:57 - 01:43:58] 智能驅動
[01:43:58 - 01:43:59] 因才失教
[01:43:59 - 01:44:00] 我覺得這才是好的
