[00:00:00 - 00:00:02] 上线之后可能争取两周吧
[00:00:02 - 00:00:04] 争取两周出现Alpha版本
[00:00:04 - 00:00:07] 然后你们就可以用一用
[00:00:07 - 00:00:07] 对吧
[00:00:07 - 00:00:09] 我的课你们免费
[00:00:09 - 00:00:10] 听别人课里给我收尾
[00:00:10 - 00:00:11] 对不对
[00:00:11 - 00:00:12] 很公平
[00:00:12 - 00:00:14] 这一个小商业不就跑通了
[00:00:14 - 00:00:15] 所以大家知道
[00:00:15 - 00:00:16] 在现在这个东西
[00:00:16 - 00:00:18] 你真的是有这种ID
[00:00:18 - 00:00:19] 有这种sense之后
[00:00:19 - 00:00:20] 话遍地黄金
[00:00:20 - 00:00:20] 对不对
[00:00:22 - 00:00:23] 40分钟你别
[00:00:23 - 00:00:24] 什么叫太强
[00:00:24 - 00:00:25] 你这不骂我吗
[00:00:25 - 00:00:26] 因为我老了
[00:00:26 - 00:00:27] 手没这么快
[00:00:27 - 00:00:27] 对不对
[00:00:27 - 00:00:28] 好
[00:00:28 - 00:00:29] 那现在
[00:00:30 - 00:00:30] 对吧
[00:00:30 - 00:00:31] 既然给大家讲
[00:00:31 - 00:00:32] 个人助理的Agent
[00:00:32 - 00:00:34] 和人技术差解和产品设计
[00:00:34 - 00:00:35] 今天我们会给大家
[00:00:35 - 00:00:36] 重点讲讲产品思路
[00:00:36 - 00:00:38] 少一点点工作流
[00:00:38 - 00:00:39] 多一点点产品思路好不好
[00:00:39 - 00:00:41] 多一点点产品思路好不好
[00:00:41 - 00:00:41] 啊
[00:00:41 - 00:00:42] OK
[00:00:42 - 00:00:42] 好
[00:00:42 - 00:00:43] 我们上一节回顾一下
[00:00:43 - 00:00:44] 关键点是什么
[00:00:44 - 00:00:46] 关键点是行业分析
[00:00:46 - 00:00:48] 因为我们觉得就是说
[00:00:48 - 00:00:49] 在你去求职找工作
[00:00:49 - 00:00:50] 尤其是B端这块东西
[00:00:50 - 00:00:51] 其实最关键
[00:00:51 - 00:00:52] 其实是在于行业分析
[00:00:52 - 00:00:54] 而不在于
[00:00:54 - 00:00:55] 说你能够用一个什么样的技术
[00:00:55 - 00:00:56] 对吧
[00:00:56 - 00:00:57] 然后
[00:00:57 - 00:00:57] 这个
[00:00:57 - 00:00:58] 你看过这个东西
[00:00:58 - 00:00:59] 其实也是一样
[00:00:59 - 00:01:00] 你说我
