[00:00:00 - 00:00:02] 做教师的后端辅助
[00:00:02 - 00:00:03] 做出体的部分
[00:00:03 - 00:00:04] 再做新增出体
[00:00:04 - 00:00:06] 再做出卷子
[00:00:06 - 00:00:08] to say to be都会有特别多的机会
[00:00:08 - 00:00:10] 所以错题本这个场景的话
[00:00:10 - 00:00:11] 客观一点讲是
[00:00:11 - 00:00:14] to say to be都是极其高频的一件事
[00:00:14 - 00:00:17] 而且又是技术和数据的竞争店
[00:00:17 - 00:00:20] 因为它里面有多么太
[00:00:20 - 00:00:21] 它有多么太
[00:00:21 - 00:00:24] 同时它还有在这里面的一些这个
[00:00:24 - 00:00:26] 来去出题等等一些东西
[00:00:26 - 00:00:29] 所以它里面所需要的技术能力还是比较多的
[00:00:29 - 00:00:32] 然后我们给大家做一个比较简单的
[00:00:32 - 00:00:34] 错题工作流的构建
[00:00:34 - 00:00:35] 比较简单的
[00:00:35 - 00:00:39] 我们看一下这个工作流构建的体系
[00:00:39 - 00:00:40] 首先我们的这个
[00:00:40 - 00:00:42] 先给大家看一下这个作用
[00:00:42 - 00:00:45] 这个作用的话是你随手拍一张这样的一个题
[00:00:45 - 00:00:47] 一张指手写的这个题
[00:00:47 - 00:00:49] 然后就可以对于这个同学
[00:00:49 - 00:00:52] 他的这个题目做相应的强化练习
[00:00:52 - 00:00:55] 就是基于这个错题再去出新的题
[00:00:55 - 00:00:57] 然后能够同时出两份work的
[00:00:57 - 00:00:59] 一份的是这个再给这个
