[00:00:00 - 00:00:02] 你们老板想要一个扣子加OA的平台
[00:00:07 - 00:00:09] 这太抽象了
[00:00:11 - 00:00:13] 你们老板要这东西真的太抽象了
[00:00:14 - 00:00:17] 你老板要一个要一个基于非输的平台
[00:00:17 - 00:00:20] 我能理解基于扣子加OA的平台
[00:00:20 - 00:00:21] 我觉得有点抽象
[00:00:22 - 00:00:26] 真的一定要必趁什么叫做必趁
[00:00:26 - 00:00:29] 就是我同学都能行了
[00:00:29 - 00:00:31] 我肯定比他棒
[00:00:31 - 00:00:33] 为什么你比他棒
[00:00:34 - 00:00:37] 你听的这期课比上一期update了
[00:00:37 - 00:00:38] 同学
[00:00:39 - 00:00:40] 你这期课又更新了
[00:00:40 - 00:00:42] 你肯定要比他强
[00:00:47 - 00:00:49] 你把OA流成千里一里
[00:00:49 - 00:00:51] 然后拿扣子先把工作流大一点
[00:00:51 - 00:00:53] 然后和你的非输去做结合吧
[00:00:54 - 00:00:55] 说实验管理
[00:00:55 - 00:00:56] 我说实验管理咱们说
[00:00:56 - 00:00:57] 这都快11点了
[00:00:57 - 00:00:58] 累死了
[00:00:58 - 00:00:59] 实验管理是这样子
[00:00:59 - 00:01:00] 你的
