[00:00:00 - 00:00:05] 非常认人的据说 对吧
[00:00:05 - 00:00:07] 而且我再多说一点
[00:00:07 - 00:00:10] 我希望你们在工作中生活中
[00:00:10 - 00:00:15] 养成一种耗然不被欺的一种气场
[00:00:15 - 00:00:18] 耗然不被欺的气场
[00:00:18 - 00:00:20] 是一种什么样的气场
[00:00:20 - 00:00:22] 你们知道在一群人里
[00:00:22 - 00:00:24] 谁会被欺负吗
[00:00:24 - 00:00:25] 是那个最矮的
[00:00:25 - 00:00:27] 最穷的穿的最破的
[00:00:27 - 00:00:29] 不是 是那个看上去好
[00:00:29 - 00:00:31] 欺负的人才会被欺负
[00:00:31 - 00:00:34] 当你的整体的状态
[00:00:34 - 00:00:36] 有一种耗然正气
[00:00:36 - 00:00:38] 你不欺负别人
[00:00:38 - 00:00:40] 你也不允许别人欺负的时候
[00:00:40 - 00:00:42] 没有人会惹你的
[00:00:42 - 00:00:43] 没有人会惹你的
[00:00:43 - 00:00:45] 就是很坦然说
[00:00:45 - 00:00:47] 我手上正有活呢
[00:00:47 - 00:00:49] 15分钟之后我来去找你
[00:00:49 - 00:00:51] 没有人在这一时间内
[00:00:51 - 00:00:53] 会说那不行
[00:00:53 - 00:00:55] 你现在就得过来
[00:00:55 - 00:00:58] 你纯心找啥是不是
